source_id,name,citation,url,license,access_notes,version_or_retrieved
owid_le_longrun,OWID Life expectancy (long-run),"Our World in Data based on HMD, Zijdeman et al., Riley, UN WPP (compilation).",https://ourworldindata.org/grapher/life-expectancy,CC BY; cite original providers,Open CSV API,2026-07-25
owid_le_age15,OWID Life expectancy at age 15,Human Mortality Database; UN WPP — with processing by Our World in Data.,https://ourworldindata.org/grapher/life-expectancy-at-age-15,CC BY; cite original providers,Open CSV API,2026-07-25
owid_le_hmd_unwpp,OWID Life expectancy HMD + UN WPP,Human Mortality Database; UN World Population Prospects — OWID processing.,https://ourworldindata.org/grapher/life-expectancy-hmd-unwpp,CC BY; cite original providers,Open CSV API,2026-07-25
hld,Human Life-Table Database,Human Life-Table Database. Max Planck Institute for Demographic Research and others. https://www.lifetable.de/,https://www.lifetable.de/,"See HLD/HMD terms; free access, no registration",Bulk zip / country files; methods vary by original table,2026-07-25
hmd_v6,Human Mortality Database,"HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",https://www.mortality.org/,Free with registration; accept HMD user agreement,Set HMD_USER and HMD_PASSWORD env vars,2026-07-25
clio_zijdeman_2015,Clio-Infra Life Expectancy at Birth (Zijdeman),"Zijdeman, R. and Ribeira da Silva, F. (2015). Life Expectancy at Birth (Total). http://hdl.handle.net/10622/LKYT53",http://hdl.handle.net/10622/LKYT53,See Clio-Infra / IISH terms,Historical e0 compilation,2026-07-25
gurven_kaplan_2007,Gurven & Kaplan (2007) hunter-gatherer longevity,"Gurven, M. & Kaplan, H. (2007). Longevity among hunter-gatherers: A cross-cultural examination. Population and Development Review, 33(2), 321–365.",https://doi.org/10.1111/j.1728-4457.2007.00171.x,Literature extract for research citation,Curated table values; not national VR,2026-07-25
hmd_fixture,HMD-format demo fixture,Synthetic sample in HMD life-table layout for pipeline tests (not real HMD data).,,Project internal,data/raw/fixtures/ — EXCLUDE from modeling,2026-07-25
hmd_summary_public,HMD Public Summary Indicators,HMD. Human Mortality Database. Public summary indicators (IMR; survival 0–65; e0/e65/e80). Available at www.mortality.org (no registration).,https://www.mortality.org/,Free; cite HMD,Public Excel summaries under /Public/HMD_summary/,2026-07-25
owid_imr,OWID Infant mortality,Our World in Data infant mortality series (underlying sources vary).,https://ourworldindata.org/grapher/infant-mortality,CC BY; cite original providers,Open CSV; joined onto OWID e0 rows where keys match,2026-07-25
owid_u5mr,OWID Child (under-5) mortality,Our World in Data child mortality series.,https://ourworldindata.org/grapher/child-mortality,CC BY; cite original providers,Stored in interim owid_mortality_long.csv,2026-07-25
eurostat_demo_mlexpec,Eurostat life expectancy by age and sex,Eurostat dataset demo_mlexpec — Life expectancy by age and sex.,https://ec.europa.eu/eurostat/databrowser/product/view/demo_mlexpec,Eurostat free reuse with attribution,SDMX-CSV bulk download,2026-07-25
