Sweden, Life tables (period 1x1), Total  [fixture demo — NOT official HMD data]
Year          Age         mx         qx         ax         lx         dx         Lx         Tx         ex
1800            0    0.20000    0.18000       0.50     100000      18000      91000    3500000      35.00
1800            1    0.05000    0.04500       0.50      80000       3600      78200    3360000      42.00
1800            5    0.01000    0.00900       0.50      70000        630      69685    3150000      45.00
1800           15    0.00800    0.00720       0.50      62000        446      61777    2480000      40.00
1800           20    0.00900    0.00810       0.50      60000        486      59757    2160000      36.00
1800           30    0.01200    0.01080       0.50      55000        594      54703    1650000      30.00
1800           50    0.02500    0.02250       0.50      40000        900      39550     720000      18.00
1800           65    0.05000    0.04500       0.50      25000       1125      24437     250000      10.00
1900            0    0.10000    0.09000       0.50     100000       9000      95500    5000000      50.00
1900            1    0.02000    0.01800       0.50      90000       1620      89190    4860000      54.00
1900            5    0.00500    0.00450       0.50      85000        382      84809    4675000      55.00
1900           15    0.00400    0.00360       0.50      82000        295      81852    3936000      48.00
1900           20    0.00500    0.00450       0.50      80000        360      79820    3520000      44.00
1900           30    0.00700    0.00630       0.50      76000        478      75761    2736000      36.00
1900           50    0.01500    0.01350       0.50      60000        810      59595    1320000      22.00
1900           65    0.04000    0.03600       0.50      40000       1440      39280     480000      12.00
