region_id,year,age_x,quality,e_x,expected_age,e0,label,sex
ABW,2010,0,hld_n_tables_1,76.755,76.755,76.755,ABW,sex_avg
ABW,2010,1,hld_n_tables_1,76.66499999999999,77.66499999999999,76.755,ABW,sex_avg
ABW,2010,5,hld_n_tables_1,72.725,77.725,76.755,ABW,sex_avg
ABW,2010,15,hld_n_tables_1,62.765,77.76500000000001,76.755,ABW,sex_avg
ABW,2010,20,hld_n_tables_1,57.845,77.845,76.755,ABW,sex_avg
ABW,2010,30,hld_n_tables_1,48.37,78.37,76.755,ABW,sex_avg
ABW,2010,50,hld_n_tables_1,29.814999999999998,79.815,76.755,ABW,sex_avg
ABW,2010,65,hld_n_tables_1,17.435000000000002,82.435,76.755,ABW,sex_avg
ALB,1950,0,hld_n_tables_1,50.739999999999995,50.739999999999995,50.739999999999995,ALB,sex_avg
ALB,1950,1,hld_n_tables_1,58.16,59.16,50.739999999999995,ALB,sex_avg
ALB,1950,5,hld_n_tables_1,60.925,65.92500000000001,50.739999999999995,ALB,sex_avg
ALB,1950,15,hld_n_tables_1,52.980000000000004,67.98,50.739999999999995,ALB,sex_avg
ALB,1950,20,hld_n_tables_1,48.724999999999994,68.725,50.739999999999995,ALB,sex_avg
ALB,1950,30,hld_n_tables_1,40.95,70.94999999999999,50.739999999999995,ALB,sex_avg
ALB,1950,50,hld_n_tables_1,25.2,75.2,50.739999999999995,ALB,sex_avg
ALB,1950,65,hld_n_tables_1,14.274999999999999,79.275,50.739999999999995,ALB,sex_avg
ALB,1955,0,hld_n_tables_1,54.655,54.655,54.655,ALB,sex_avg
ALB,1955,1,hld_n_tables_1,60.305,61.305,54.655,ALB,sex_avg
ALB,1955,5,hld_n_tables_1,65.0,70.0,54.655,ALB,sex_avg
ALB,1955,15,hld_n_tables_1,56.739999999999995,71.74,54.655,ALB,sex_avg
ALB,1955,20,hld_n_tables_1,52.265,72.265,54.655,ALB,sex_avg
ALB,1955,30,hld_n_tables_1,43.55,73.55,54.655,ALB,sex_avg
