region_id,year,sex,age_x,e_x,expected_age,e0,imr,s_to_65,label
AUS,1921,both,0,60.97,60.97,60.97,65.22,0.5827,Australia
AUS,1922,both,0,62.83,62.83,62.83,52.69,0.6097,Australia
AUS,1923,both,0,61.68,61.68,61.68,59.87,0.5936,Australia
AUS,1924,both,0,62.48,62.48,62.48,56.88,0.6045,Australia
AUS,1925,both,0,63.17,63.17,63.17,53.55,0.6156,Australia
AUS,1926,both,0,62.88,62.88,62.88,53.36,0.612,Australia
AUS,1927,both,0,62.84,62.84,62.84,54.47,0.6112,Australia
AUS,1928,both,0,62.91,62.91,62.91,53.25,0.6126,Australia
AUS,1929,both,0,63.08,63.08,63.08,50.39,0.6169,Australia
AUS,1930,both,0,64.9,64.9,64.9,47.44,0.6479,Australia
AUS,1931,both,0,65.32,65.32,65.32,40.84,0.6539,Australia
AUS,1932,both,0,65.6,65.6,65.6,39.75,0.6559,Australia
AUS,1933,both,0,65.43,65.43,65.43,39.61,0.6526000000000001,Australia
AUS,1934,both,0,64.79,64.79,64.79,43.32,0.6426999999999999,Australia
AUS,1935,both,0,65.05,65.05,65.05,40.03,0.6448,Australia
AUS,1936,both,0,65.19,65.19,65.19,41.87,0.647,Australia
AUS,1937,both,0,65.74,65.74,65.74,38.49,0.6548,Australia
AUS,1938,both,0,65.76,65.76,65.76,38.23,0.6578,Australia
AUS,1939,both,0,65.73,65.73,65.73,38.4,0.6581,Australia
AUS,1940,both,0,66.16,66.16,66.16,38.91,0.6617000000000001,Australia
AUS,1941,both,0,66.04,66.04,66.04,40.81,0.6640999999999999,Australia
AUS,1942,both,0,65.79,65.79,65.79,39.46,0.6587000000000001,Australia
AUS,1943,both,0,66.33,66.33,66.33,38.0,0.6685,Australia
AUS,1944,both,0,67.96,67.96,67.96,31.7,0.6929000000000001,Australia
AUS,1945,both,0,68.38,68.38,68.38,29.97,0.7011,Australia
AUS,1946,both,0,67.92,67.92,67.92,30.79,0.6914,Australia
AUS,1947,both,0,68.52,68.52,68.52,28.94,0.6984,Australia
AUS,1948,both,0,68.47,68.47,68.47,27.29,0.6973999999999999,Australia
AUS,1949,both,0,69.09,69.09,69.09,25.44,0.708,Australia
AUS,1950,both,0,69.0,69.0,69.0,24.87,0.7087,Australia
AUS,1951,both,0,68.7,68.7,68.7,25.14,0.7019,Australia
AUS,1952,both,0,69.11,69.11,69.11,24.15,0.7071999999999999,Australia
AUS,1953,both,0,69.69,69.69,69.69,23.31,0.7192000000000001,Australia
AUS,1954,both,0,69.86,69.86,69.86,22.32,0.7245999999999999,Australia
AUS,1955,both,0,70.15,70.15,70.15,22.14,0.731,Australia
AUS,1956,both,0,70.04,70.04,70.04,21.8,0.7298,Australia
AUS,1957,both,0,70.32,70.32,70.32,21.8,0.7326999999999999,Australia
AUS,1958,both,0,70.86,70.86,70.86,20.58,0.7392,Australia
AUS,1959,both,0,70.45,70.45,70.45,21.58,0.7343999999999999,Australia
AUS,1960,both,0,70.87,70.87,70.87,20.09,0.7387999999999999,Australia
AUS,1961,both,0,71.13,71.13,71.13,19.83,0.7443000000000001,Australia
AUS,1962,both,0,70.91,70.91,70.91,20.27,0.7387,Australia
AUS,1963,both,0,70.96,70.96,70.96,19.52,0.7358,Australia
AUS,1964,both,0,70.57,70.57,70.57,18.67,0.7276,Australia
AUS,1965,both,0,70.8,70.8,70.8,18.54,0.7336,Australia
AUS,1966,both,0,70.68,70.68,70.68,18.18,0.733,Australia
AUS,1967,both,0,71.05,71.05,71.05,18.04,0.7358,Australia
AUS,1968,both,0,70.68,70.68,70.68,18.04,0.7314,Australia
AUS,1969,both,0,71.07,71.07,71.07,18.45,0.7376,Australia
AUS,1970,both,0,70.65,70.65,70.65,18.55,0.7325,Australia
AUS,1971,both,0,71.45,71.45,71.45,17.75,0.7482,Australia
AUS,1972,both,0,71.77,71.77,71.77,16.58,0.7505,Australia
AUS,1973,both,0,72.06,72.06,72.06,15.72,0.7559999999999999,Australia
AUS,1974,both,0,71.85,71.85,71.85,15.77,0.752,Australia
AUS,1975,both,0,72.78,72.78,72.78,13.84,0.7653,Australia
AUS,1976,both,0,72.79,72.79,72.79,13.56,0.7696,Australia
AUS,1977,both,0,73.47,73.47,73.47,12.37,0.7781,Australia
AUS,1978,both,0,73.74,73.74,73.74,12.17,0.7826000000000001,Australia
AUS,1979,both,0,74.33,74.33,74.33,11.09,0.7931,Australia
AUS,1980,both,0,74.57,74.57,74.57,10.6,0.7986,Australia
AUS,1981,both,0,74.78,74.78,74.78,10.39,0.8027,Australia
AUS,1982,both,0,74.72,74.72,74.72,10.11,0.8038,Australia
AUS,1983,both,0,75.44,75.44,75.44,9.67,0.8118000000000001,Australia
AUS,1984,both,0,75.51,75.51,75.51,9.43,0.8149,Australia
AUS,1985,both,0,75.43,75.43,75.43,9.84,0.8172,Australia
AUS,1986,both,0,76.07,76.07,76.07,8.83,0.8255,Australia
AUS,1987,both,0,76.09,76.09,76.09,8.96,0.8273,Australia
AUS,1988,both,0,76.35,76.35,76.35,8.2,0.8308,Australia
AUS,1989,both,0,76.2,76.2,76.2,8.48,0.8327,Australia
AUS,1990,both,0,77.04,77.04,77.04,7.92,0.8420000000000001,Australia
AUS,1991,both,0,77.48,77.48,77.48,6.86,0.8475,Australia
AUS,1992,both,0,77.47,77.47,77.47,6.91,0.8493,Australia
AUS,1993,both,0,78.01,78.01,78.01,6.03,0.8565,Australia
AUS,1994,both,0,77.86,77.86,77.86,5.95,0.857,Australia
AUS,1995,both,0,78.26,78.26,78.26,5.66,0.8615999999999999,Australia
AUS,1996,both,0,78.35,78.35,78.35,5.72,0.8628,Australia
AUS,1997,both,0,78.63,78.63,78.63,5.51,0.8665999999999999,Australia
AUS,1998,both,0,79.03,79.03,79.03,5.02,0.8706,Australia
AUS,1999,both,0,79.28,79.28,79.28,5.68,0.875,Australia
AUS,2000,both,0,79.62,79.62,79.62,5.08,0.8787999999999999,Australia
AUS,2001,both,0,80.01,80.01,80.01,5.12,0.8825,Australia
AUS,2002,both,0,80.06,80.06,80.06,5.0,0.8843000000000001,Australia
AUS,2003,both,0,80.45,80.45,80.45,4.83,0.888,Australia
AUS,2004,both,0,80.74,80.74,80.74,4.7,0.8912,Australia
AUS,2005,both,0,81.1,81.1,81.1,5.08,0.8937,Australia
AUS,2006,both,0,81.27,81.27,81.27,4.8,0.8959999999999999,Australia
AUS,2007,both,0,81.24,81.24,81.24,4.28,0.8948,Australia
AUS,2008,both,0,81.43,81.43,81.43,4.25,0.899,Australia
AUS,2009,both,0,81.73,81.73,81.73,4.13,0.8992,Australia
AUS,2010,both,0,82.02,82.02,82.02,4.09,0.9032,Australia
AUS,2011,both,0,82.09,82.09,82.09,3.78,0.903,Australia
AUS,2012,both,0,82.29,82.29,82.29,3.34,0.9064,Australia
AUS,2013,both,0,82.54,82.54,82.54,3.66,0.9062,Australia
AUS,2014,both,0,82.51,82.51,82.51,3.4,0.9057,Australia
AUS,2015,both,0,82.6,82.6,82.6,3.13,0.9055,Australia
AUS,2016,both,0,82.8,82.8,82.8,3.05,0.9077,Australia
AUS,2017,both,0,82.71,82.71,82.71,3.35,0.9069,Australia
AUS,2018,both,0,83.25,83.25,83.25,3.14,0.9092,Australia
AUS,2019,both,0,83.24,83.24,83.24,3.23,0.909,Australia
AUS,2020,both,0,83.66,83.66,83.66,3.08,0.912,Australia
AUS,2021,both,0,83.47,83.47,83.47,3.28,0.912,Australia
AUT,1947,both,0,61.54,61.54,61.54,84.61,0.6164999999999999,AUT
AUT,1948,both,0,63.21,63.21,63.21,79.39,0.6386,AUT
AUT,1949,both,0,63.47,63.47,63.47,72.87,0.6419,AUT
AUT,1950,both,0,64.81,64.81,64.81,65.41,0.6605,AUT
AUT,1951,both,0,65.22,65.22,65.22,60.05,0.6684,AUT
AUT,1952,both,0,66.74,66.74,66.74,52.29,0.6919,AUT
AUT,1953,both,0,67.25,67.25,67.25,49.79,0.7008,AUT
AUT,1954,both,0,67.28,67.28,67.28,48.48,0.6995999999999999,AUT
AUT,1955,both,0,67.55,67.55,67.55,46.51,0.7045999999999999,AUT
AUT,1956,both,0,67.68,67.68,67.68,44.42,0.7044,AUT
AUT,1957,both,0,67.44,67.44,67.44,44.48,0.6998000000000001,AUT
AUT,1958,both,0,68.45,68.45,68.45,40.76,0.7159,AUT
AUT,1959,both,0,68.39,68.39,68.39,40.29,0.713,AUT
AUT,1960,both,0,68.74,68.74,68.74,37.57,0.7189,AUT
AUT,1961,both,0,69.71,69.71,69.71,33.39,0.7315,AUT
AUT,1962,both,0,69.5,69.5,69.5,32.91,0.7298,AUT
AUT,1963,both,0,69.65,69.65,69.65,31.11,0.7337,AUT
AUT,1964,both,0,70.12,70.12,70.12,29.15,0.7392,AUT
AUT,1965,both,0,69.93,69.93,69.93,27.65,0.7373999999999999,AUT
AUT,1966,both,0,70.22,70.22,70.22,28.02,0.7415999999999999,AUT
AUT,1967,both,0,70.12,70.12,70.12,26.17,0.7419,AUT
AUT,1968,both,0,70.27,70.27,70.27,25.25,0.7437,AUT
AUT,1969,both,0,70.04,70.04,70.04,24.84,0.741,AUT
AUT,1970,both,0,70.09,70.09,70.09,24.94,0.7413,AUT
AUT,1971,both,0,70.29,70.29,70.29,25.59,0.748,AUT
AUT,1972,both,0,70.62,70.62,70.62,24.6,0.7517,AUT
AUT,1973,both,0,71.2,71.2,71.2,23.02,0.7609,AUT
AUT,1974,both,0,71.18,71.18,71.18,23.38,0.7608,AUT
AUT,1975,both,0,71.33,71.33,71.33,20.06,0.7624,AUT
AUT,1976,both,0,71.79,71.79,71.79,17.66,0.7701,AUT
AUT,1977,both,0,72.14,72.14,72.14,16.66,0.7723,AUT
AUT,1978,both,0,72.2,72.2,72.2,14.98,0.7745000000000001,AUT
AUT,1979,both,0,72.55,72.55,72.55,14.77,0.7762,AUT
AUT,1980,both,0,72.67,72.67,72.67,14.64,0.778,AUT
AUT,1981,both,0,72.99,72.99,72.99,12.59,0.7828,AUT
AUT,1982,both,0,73.15,73.15,73.15,12.75,0.7828,AUT
AUT,1983,both,0,73.22,73.22,73.22,11.54,0.7829,AUT
AUT,1984,both,0,73.77,73.77,73.77,11.32,0.7894,AUT
AUT,1985,both,0,73.99,73.99,73.99,10.96,0.7959,AUT
AUT,1986,both,0,74.46,74.46,74.46,10.2,0.8028,AUT
AUT,1987,both,0,74.9,74.9,74.9,9.79,0.809,AUT
AUT,1988,both,0,75.37,75.37,75.37,8.14,0.8145,AUT
AUT,1989,both,0,75.46,75.46,75.46,8.28,0.8158,AUT
AUT,1990,both,0,75.74,75.74,75.74,7.87,0.8189,AUT
AUT,1991,both,0,75.79,75.79,75.79,7.6,0.8198000000000001,AUT
AUT,1992,both,0,75.99,75.99,75.99,7.55,0.8219,AUT
AUT,1993,both,0,76.22,76.22,76.22,6.45,0.8240000000000001,AUT
AUT,1994,both,0,76.54,76.54,76.54,6.17,0.8291,AUT
AUT,1995,both,0,76.78,76.78,76.78,5.32,0.8321999999999999,AUT
AUT,1996,both,0,77.03,77.03,77.03,5.09,0.8367,AUT
AUT,1997,both,0,77.43,77.43,77.43,4.53,0.8442000000000001,AUT
AUT,1998,both,0,77.78,77.78,77.78,4.83,0.8504,AUT
AUT,1999,both,0,77.96,77.96,77.96,4.24,0.8518000000000001,AUT
AUT,2000,both,0,78.24,78.24,78.24,4.77,0.8547,AUT
AUT,2001,both,0,78.72,78.72,78.72,4.76,0.8604999999999999,AUT
AUT,2002,both,0,78.85,78.85,78.85,4.19,0.8642,AUT
AUT,2003,both,0,78.85,78.85,78.85,4.43,0.863,AUT
AUT,2004,both,0,79.36,79.36,79.36,4.55,0.8671,AUT
AUT,2005,both,0,79.52,79.52,79.52,4.15,0.8694,AUT
AUT,2006,both,0,79.96,79.96,79.96,3.61,0.8756,AUT
AUT,2007,both,0,80.16,80.16,80.16,3.64,0.8765000000000001,AUT
AUT,2008,both,0,80.37,80.37,80.37,3.74,0.8793000000000001,AUT
AUT,2009,both,0,80.21,80.21,80.21,3.78,0.8754000000000001,AUT
AUT,2010,both,0,80.47,80.47,80.47,3.98,0.8776,AUT
AUT,2011,both,0,80.83,80.83,80.83,3.58,0.8825,AUT
AUT,2012,both,0,80.84,80.84,80.84,3.24,0.8856,AUT
AUT,2013,both,0,81.08,81.08,81.08,3.13,0.8884000000000001,AUT
AUT,2014,both,0,81.39,81.39,81.39,3.12,0.8909,AUT
AUT,2015,both,0,81.16,81.16,81.16,3.15,0.8922,AUT
AUT,2016,both,0,81.59,81.59,81.59,3.17,0.8963,AUT
AUT,2017,both,0,81.63,81.63,81.63,2.93,0.8992,AUT
AUT,2018,both,0,81.69,81.69,81.69,2.69,0.8991,AUT
AUT,2019,both,0,81.91,81.91,81.91,2.99,0.9031,AUT
AUT,2020,both,0,81.35,81.35,81.35,3.16,0.9008,AUT
AUT,2021,both,0,81.28,81.28,81.28,2.82,0.8972,AUT
AUT,2022,both,0,81.43,81.43,81.43,2.43,0.9007,AUT
AUT,2023,both,0,81.86,81.86,81.86,2.78,0.9044,AUT
BEL,1841,both,0,40.34,40.34,40.34,151.52,0.3176,Belgium
BEL,1842,both,0,38.67,38.67,38.67,157.01,0.298,Belgium
BEL,1843,both,0,40.38,40.38,40.38,148.18,0.3194,Belgium
BEL,1844,both,0,41.91,41.91,41.91,139.61,0.3311,Belgium
BEL,1845,both,0,41.05,41.05,41.05,149.6,0.3215,Belgium
BEL,1846,both,0,37.86,37.86,37.86,173.09,0.2749,Belgium
BEL,1847,both,0,35.13,35.13,35.13,160.72,0.2165,Belgium
BEL,1848,both,0,38.05,38.05,38.05,141.55,0.2597,Belgium
BEL,1849,both,0,34.51,34.51,34.51,152.04,0.2141,Belgium
BEL,1850,both,0,42.3,42.3,42.3,139.06,0.3383,Belgium
BEL,1851,both,0,41.91,41.91,41.91,147.22,0.3384,Belgium
BEL,1852,both,0,41.81,41.81,41.81,147.22,0.3349,Belgium
BEL,1853,both,0,41.35,41.35,41.35,140.98,0.3215,Belgium
BEL,1854,both,0,39.78,39.78,39.78,153.4,0.3098,Belgium
BEL,1855,both,0,37.46,37.46,37.46,167.14,0.2832,Belgium
BEL,1856,both,0,40.92,40.92,40.92,145.26,0.3345,Belgium
BEL,1857,both,0,40.48,40.48,40.48,161.53,0.3228,Belgium
BEL,1858,both,0,40.17,40.17,40.17,162.82,0.3126,Belgium
BEL,1859,both,0,38.97,38.97,38.97,171.18,0.2978,Belgium
BEL,1860,both,0,45.1,45.1,45.1,136.35,0.3718999999999999,Belgium
BEL,1861,both,0,41.25,41.25,41.25,161.31,0.3324,Belgium
BEL,1862,both,0,43.1,43.1,43.1,148.4,0.3599,Belgium
BEL,1863,both,0,41.29,41.29,41.29,159.56,0.3414999999999999,Belgium
BEL,1864,both,0,39.8,39.8,39.8,163.21,0.32,Belgium
BEL,1865,both,0,37.73,37.73,37.73,185.64,0.2992,Belgium
BEL,1866,both,0,32.47,32.47,32.47,168.02,0.1924,Belgium
BEL,1867,both,0,43.05,43.05,43.05,146.33,0.3521,Belgium
BEL,1868,both,0,42.55,42.55,42.55,140.33,0.3505,Belgium
BEL,1869,both,0,42.59,42.59,42.59,130.51,0.3489,Belgium
BEL,1870,both,0,40.92,40.92,40.92,145.38,0.3243,Belgium
BEL,1871,both,0,34.36,34.36,34.36,166.69,0.2487,Belgium
BEL,1872,both,0,40.04,40.04,40.04,147.9,0.3223,Belgium
BEL,1873,both,0,43.49,43.49,43.49,141.99,0.3554,Belgium
BEL,1874,both,0,44.68,44.68,44.68,136.79,0.372,Belgium
BEL,1875,both,0,42.17,42.17,42.17,155.92,0.3393,Belgium
BEL,1876,both,0,43.67,43.67,43.67,113.79,0.358,Belgium
BEL,1877,both,0,44.48,44.48,44.48,128.71,0.3674,Belgium
BEL,1878,both,0,44.23,44.23,44.23,156.73,0.3618,Belgium
BEL,1879,both,0,43.83,43.83,43.83,158.84,0.3539,Belgium
BEL,1880,both,0,42.49,42.49,42.49,183.12,0.3485,Belgium
BEL,1881,both,0,44.42,44.42,44.42,156.93,0.3638,Belgium
BEL,1882,both,0,45.55,45.55,45.55,149.94,0.3786,Belgium
BEL,1883,both,0,44.9,44.9,44.9,151.58,0.3655,Belgium
BEL,1884,both,0,44.23,44.23,44.23,166.09,0.3636,Belgium
BEL,1885,both,0,45.47,45.47,45.47,148.03,0.3747,Belgium
BEL,1886,both,0,43.35,43.35,43.35,181.56,0.3581,Belgium
BEL,1887,both,0,46.05,46.05,46.05,153.1,0.3861,Belgium
BEL,1888,both,0,44.92,44.92,44.92,169.54,0.3742,Belgium
BEL,1889,both,0,45.07,45.07,45.07,166.05,0.3779999999999999,Belgium
BEL,1890,both,0,44.14,44.14,44.14,171.29,0.3606,Belgium
BEL,1891,both,0,44.04,44.04,44.04,170.37,0.3595,Belgium
BEL,1892,both,0,43.16,43.16,43.16,171.84,0.3461999999999999,Belgium
