region_id,n,corr_pearson,corr_spearman
ESP,116,-0.9918694387459666,-0.9968976871064841
ITA,152,-0.9911845938122559,-0.9952116485515986
FRANCE:_CIVILIAN_POPULATION,208,-0.9867257734240352,-0.9736618037314303
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,182,-0.9866346951436475,-0.9795436969450282
NOR,178,-0.9866218704611764,-0.992902606335417
UK:_SCOTLAND,168,-0.9863704285150449,-0.9756719477658297
NLD,174,-0.9842634321815577,-0.9944815882091644
DNK,189,-0.9835039592126474,-0.9863070675869691
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,182,-0.9815299809424297,-0.9744512561389505
SWE,273,-0.9788607299621621,-0.9881815778411289
FRANCE:_TOTAL_POPULATION,208,-0.9787083744573318,-0.9538552474846016
USA,91,-0.9784751316697483,-0.9883060727197439
PRT,84,-0.9781234131587441,-0.994598507628912
BEL,178,-0.9741329522351683,-0.943597095513474
UK:_NORTHERN_IRELAND,101,-0.9720234721007545,-0.984082470628381
UK:_UNITED_KINGDOM_TOTAL_POPULATION,101,-0.971779531403735,-0.9974694013432593
BGR,75,-0.9713504432910931,-0.9098791524127902
GERMANY:_TOTAL_POPULATION,31,-0.9658087714870629,-0.9826612903225808
FIN,146,-0.9654193503146107,-0.9884144201829956
ISR,34,-0.9620214935580761,-0.9954149937748265
CAN,103,-0.961507821120066,-0.9968945634868143
CHE,148,-0.9580093228132162,-0.9978695916131135
JPN,77,-0.9531467066909574,-0.9984291920741963
KOR,21,-0.9487253162822021,-0.9503085918548176
AUS,101,-0.9389906862199494,-0.9963627998165471
ISL,186,-0.9386797444221681,-0.9895789430497071
NEW_ZEALAND:_NON-MAORI,108,-0.937327812741331,-0.9931191513409978
NEW_ZEALAND:_MAORI,61,-0.9365880216020462,-0.9572954681013436
HKG,38,-0.9291900196777084,-0.9415690994638363
CHL,32,-0.9283934682941717,-0.9296187683284455
GERMANY:_WEST_GERMANY,65,-0.926409819185204,-0.9950282461776097
GRC,39,-0.9250512968322839,-0.933741652891648
NEW_ZEALAND:_TOTAL_POPULATION,74,-0.9228289360639188,-0.9904922695239377
SVN,37,-0.922236990426655,-0.9714285714285714
AUT,77,-0.9154401402211196,-0.9956095958796398
POL,66,-0.8995271258818631,-0.9711816469111427
IRL,73,-0.8948750208989155,-0.9934976281679325
SVK,74,-0.8909261198308126,-0.9553266642860125
TWN,54,-0.8856004668287937,-0.9336306827989698
CZE,72,-0.8785846276236491,-0.9818874659652126
HUN,71,-0.8733717239757542,-0.9022938400056846
LUX,64,-0.8708216845353466,-0.9401879648846877
HRV,23,-0.869738403891312,-0.7635285629682883
GERMANY:_EAST_GERMANY,65,-0.8242933562424071,-0.9904168720832762
EST,65,-0.7877658867359961,-0.7354342411826593
LVA,65,-0.6856989466351587,-0.6451549457373494
LTU,65,-0.6399957145835019,-0.6714889804703785
BLR,60,0.11067282739023179,0.23313326700445064
RUS,56,0.15370813347493958,0.1816534805722628
UKR,55,0.41163618892192166,0.5030035183698365
