region_id,label,year,e0,imr,e65,exp_death_65,s_to_65,adult_gap_65
BEL,Belgium,1842,38.67,157.01,11.34,76.34,0.298,37.67
BEL,Belgium,1846,37.86,173.09,10.45,75.45,0.2749,37.59
BEL,Belgium,1847,35.13,160.72,9.58,74.58,0.2165,39.449999999999996
BEL,Belgium,1848,38.05,141.55,9.97,74.97,0.2597,36.92
BEL,Belgium,1849,34.51,152.04,10.17,75.17,0.2141,40.660000000000004
BEL,Belgium,1854,39.78,153.4,10.81,75.81,0.3098,36.03
BEL,Belgium,1855,37.46,167.14,9.88,74.88,0.2832,37.419999999999995
BEL,Belgium,1859,38.97,171.18,11.1,76.1,0.2978,37.129999999999995
BEL,Belgium,1864,39.8,163.21,10.67,75.67,0.32,35.870000000000005
BEL,Belgium,1865,37.73,185.64,11.22,76.22,0.2992,38.49
BEL,Belgium,1866,32.47,168.02,10.07,75.07,0.1924,42.599999999999994
BEL,Belgium,1871,34.36,166.69,10.48,75.48,0.2487,41.120000000000005
CHE,Switzerland,1877,39.99,209.78,9.78,74.78,0.3006,34.79
DNK,Denmark,1835,38.42,184.85,11.45,76.45,0.2852,38.03
DNK,Denmark,1849,39.57,185.09,10.64,75.64,0.2923,36.07
DNK,Denmark,1853,38.57,191.84,9.93,74.93,0.2594,36.36000000000001
DNK,Denmark,1865,39.8,146.35,11.26,76.26,0.3145,36.46000000000001
ESP,ESP,1911,39.79,175.48,10.19,75.19,0.3283,35.4
ESP,ESP,1918,30.36,178.11,9.28,74.28,0.179,43.92
ESP,ESP,1920,39.38,180.87,10.3,75.3,0.3189,35.919999999999995
FIN,Finland,1878,39.34,173.34,10.31,75.31,0.3104,35.97
FIN,Finland,1880,39.7,163.0,9.98,74.98,0.3065,35.28
FIN,Finland,1881,37.7,179.74,10.12,75.12,0.3005,37.42
FIN,Finland,1892,39.77,152.87,10.0,75.0,0.3229999999999999,35.23
FIN,Finland,1918,32.85,113.62,10.17,75.17,0.166,42.32
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1817,39.23,175.82,10.82,75.82,0.2874,36.589999999999996
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1818,38.6,176.79,11.07,76.07,0.2858,37.46999999999999
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1819,37.32,187.85,11.19,76.19,0.2772,38.87
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1820,39.28,173.56,10.72,75.72,0.2941,36.44
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1821,39.88,174.26,11.53,76.53,0.3115,36.65
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1822,38.37,194.3,11.38,76.38,0.299,38.01
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1824,39.21,188.53,11.57,76.57,0.3112,37.35999999999999
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1825,38.58,182.87,11.4,76.4,0.2982,37.82000000000001
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1826,37.8,182.12,10.86,75.86,0.2863,38.06
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1827,39.41,178.36,11.1,76.1,0.3,36.69
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1828,37.6,184.81,10.89,75.89,0.2829,38.29
FRANCE:_CIVILIAN_POPULATION,FRANCE: CIVILIAN POPULATION,1829,39.44,172.75,10.65,75.65,0.2999,36.21000000000001
