region_id,e65_pre1900,e65_post2000,delta_e65
BEL,11.036271186440677,19.256666666666668,8.22039548022599
CHE,9.87,20.52875,10.65875
DNK,11.493692307692308,18.548750000000002,7.0550576923076935
FIN,10.773181818181818,19.42625,8.653068181818181
FRANCE:_CIVILIAN_POPULATION,10.906309523809524,20.722916666666666,9.816607142857142
FRANCE:_TOTAL_POPULATION,10.906309523809524,20.722916666666666,9.816607142857142
ISL,11.162903225806453,19.93375,8.770846774193547
ITA,10.29857142857143,20.131666666666668,9.833095238095238
NLD,10.967,19.09541666666667,8.128416666666668
NOR,12.950555555555557,19.67833333333333,6.727777777777774
SWE,10.666912751677852,19.765833333333333,9.09892058165548
UK:_ENGLAND_&_WALES_CIVILIAN_POPULATION,11.071186440677966,19.170434782608698,8.099248341930732
UK:_ENGLAND_&_WALES_TOTAL_POPULATION,11.071186440677966,19.170434782608698,8.099248341930732
UK:_SCOTLAND,11.593777777777778,17.95391304347826,6.360135265700482
