region_id,country_region,year,e0,imr,e65,s_to_65,e80,exp_death_0,exp_death_65,exp_death_80,adult_gap_65,era,is_total_pop,in_primary_allowlist,label,sex,low_e0
BEL,Belgium,1842,38.67,157.01,11.34,0.298,4.91,38.67,76.34,84.91,37.67,pre_1850,True,True,Belgium,both,True
BEL,Belgium,1846,37.86,173.09,10.45,0.2749,4.62,37.86,75.45,84.62,37.59,pre_1850,True,True,Belgium,both,True
BEL,Belgium,1847,35.13,160.72,9.58,0.2165,4.25,35.13,74.58,84.25,39.449999999999996,pre_1850,True,True,Belgium,both,True
BEL,Belgium,1848,38.05,141.55,9.97,0.2597,4.27,38.05,74.97,84.27,36.92,pre_1850,True,True,Belgium,both,True
BEL,Belgium,1849,34.51,152.04,10.17,0.2141,4.69,34.51,75.17,84.69,40.660000000000004,pre_1850,True,True,Belgium,both,True
BEL,Belgium,1854,39.78,153.4,10.81,0.3098,4.6,39.78,75.81,84.6,36.03,1850_1899,True,True,Belgium,both,True
BEL,Belgium,1855,37.46,167.14,9.88,0.2832,4.01,37.46,74.88,84.01,37.419999999999995,1850_1899,True,True,Belgium,both,True
BEL,Belgium,1859,38.97,171.18,11.1,0.2978,5.22,38.97,76.1,85.22,37.129999999999995,1850_1899,True,True,Belgium,both,True
BEL,Belgium,1864,39.8,163.21,10.67,0.32,4.6,39.8,75.67,84.6,35.870000000000005,1850_1899,True,True,Belgium,both,True
BEL,Belgium,1865,37.73,185.64,11.22,0.2992,4.89,37.73,76.22,84.89,38.49,1850_1899,True,True,Belgium,both,True
BEL,Belgium,1866,32.47,168.02,10.07,0.1924,4.63,32.47,75.07,84.63,42.599999999999994,1850_1899,True,True,Belgium,both,True
BEL,Belgium,1871,34.36,166.69,10.48,0.2487,4.53,34.36,75.48,84.53,41.120000000000005,1850_1899,True,True,Belgium,both,True
CHE,Switzerland,1877,39.99,209.78,9.78,0.3006,4.46,39.99,74.78,84.46,34.79,1850_1899,True,True,Switzerland,both,True
DNK,Denmark,1835,38.42,184.85,11.45,0.2852,5.42,38.42,76.45,85.42,38.03,pre_1850,True,True,Denmark,both,True
DNK,Denmark,1849,39.57,185.09,10.64,0.2923,4.87,39.57,75.64,84.87,36.07,pre_1850,True,True,Denmark,both,True
DNK,Denmark,1853,38.57,191.84,9.93,0.2594,4.58,38.57,74.93,84.58,36.36000000000001,1850_1899,True,True,Denmark,both,True
DNK,Denmark,1865,39.8,146.35,11.26,0.3145,5.0,39.8,76.26,85.0,36.46000000000001,1850_1899,True,True,Denmark,both,True
ESP,Spain,1911,39.79,175.48,10.19,0.3283,5.04,39.79,75.19,85.04,35.4,1900_1949,True,False,ESP,both,True
ESP,Spain,1918,30.36,178.11,9.28,0.179,4.65,30.36,74.28,84.65,43.92,1900_1949,True,False,ESP,both,True
ESP,Spain,1920,39.38,180.87,10.3,0.3189,5.08,39.38,75.3,85.08,35.919999999999995,1900_1949,True,False,ESP,both,True
FIN,Finland,1878,39.34,173.34,10.31,0.3104,4.36,39.34,75.31,84.36,35.97,1850_1899,True,True,Finland,both,True
FIN,Finland,1880,39.7,163.0,9.98,0.3065,4.22,39.7,74.98,84.22,35.28,1850_1899,True,True,Finland,both,True
FIN,Finland,1881,37.7,179.74,10.12,0.3005,4.18,37.7,75.12,84.18,37.42,1850_1899,True,True,Finland,both,True
FIN,Finland,1892,39.77,152.87,10.0,0.3229999999999999,3.97,39.77,75.0,83.97,35.23,1850_1899,True,True,Finland,both,True
FIN,Finland,1918,32.85,113.62,10.17,0.166,4.22,32.85,75.17,84.22,42.32,1900_1949,True,True,Finland,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1817,39.23,175.82,10.82,0.2874,4.97,39.23,75.82,84.97,36.589999999999996,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1818,38.6,176.79,11.07,0.2858,5.22,38.6,76.07,85.22,37.46999999999999,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1819,37.32,187.85,11.19,0.2772,5.18,37.32,76.19,85.18,38.87,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1820,39.28,173.56,10.72,0.2941,4.72,39.28,75.72,84.72,36.44,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1821,39.88,174.26,11.53,0.3115,5.32,39.88,76.53,85.32,36.65,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1822,38.37,194.3,11.38,0.299,5.07,38.37,76.38,85.07,38.01,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1824,39.21,188.53,11.57,0.3112,5.27,39.21,76.57,85.27,37.35999999999999,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1825,38.58,182.87,11.4,0.2982,5.11,38.58,76.4,85.11,37.82000000000001,pre_1850,True,True,France,both,True
FRANCE:_TOTAL_POPULATION,France: Total population,1826,37.8,182.12,10.86,0.2863,4.78,37.8,75.86,84.78,38.06,pre_1850,True,True,France,both,True
