day,primary_type,n
2010-01-01,ARSON,2
2010-01-01,ASSAULT,40
2010-01-01,BATTERY,273
2010-01-01,BURGLARY,47
2010-01-01,CRIM SEXUAL ASSAULT,53
2010-01-01,CRIMINAL DAMAGE,94
2010-01-01,CRIMINAL SEXUAL ASSAULT,13
2010-01-01,CRIMINAL TRESPASS,21
2010-01-01,DECEPTIVE PRACTICE,109
2010-01-01,GAMBLING,1
2010-01-01,INTERFERENCE WITH PUBLIC OFFICER,3
2010-01-01,LIQUOR LAW VIOLATION,2
2010-01-01,MOTOR VEHICLE THEFT,47
2010-01-01,NARCOTICS,85
2010-01-01,OFFENSE INVOLVING CHILDREN,130
2010-01-01,OTHER OFFENSE,104
2010-01-01,PROSTITUTION,7
2010-01-01,PUBLIC PEACE VIOLATION,9
2010-01-01,ROBBERY,34
2010-01-01,SEX OFFENSE,38
2010-01-01,STALKING,1
2010-01-01,THEFT,334
2010-01-01,WEAPONS VIOLATION,37
2010-01-02,ARSON,3
2010-01-02,ASSAULT,46
2010-01-02,BATTERY,113
2010-01-02,BURGLARY,46
2010-01-02,CRIM SEXUAL ASSAULT,4
2010-01-02,CRIMINAL DAMAGE,68
2010-01-02,CRIMINAL TRESPASS,13
2010-01-02,DECEPTIVE PRACTICE,27
2010-01-02,GAMBLING,1
2010-01-02,HOMICIDE,2
2010-01-02,INTERFERENCE WITH PUBLIC OFFICER,3
2010-01-02,LIQUOR LAW VIOLATION,1
2010-01-02,MOTOR VEHICLE THEFT,36
2010-01-02,NARCOTICS,115
2010-01-02,OFFENSE INVOLVING CHILDREN,4
2010-01-02,OTHER OFFENSE,66
2010-01-02,PROSTITUTION,4
2010-01-02,PUBLIC PEACE VIOLATION,2
2010-01-02,ROBBERY,41
2010-01-02,SEX OFFENSE,2
2010-01-02,STALKING,1
2010-01-02,THEFT,183
2010-01-02,WEAPONS VIOLATION,12
2010-01-03,ASSAULT,44
2010-01-03,BATTERY,136
2010-01-03,BURGLARY,45
2010-01-03,CRIM SEXUAL ASSAULT,3
2010-01-03,CRIMINAL DAMAGE,80
2010-01-03,CRIMINAL TRESPASS,30
2010-01-03,DECEPTIVE PRACTICE,24
2010-01-03,HOMICIDE,1
2010-01-03,INTERFERENCE WITH PUBLIC OFFICER,2
2010-01-03,INTIMIDATION,1
2010-01-03,KIDNAPPING,2
2010-01-03,LIQUOR LAW VIOLATION,2
2010-01-03,MOTOR VEHICLE THEFT,39
2010-01-03,NARCOTICS,86
2010-01-03,OFFENSE INVOLVING CHILDREN,7
2010-01-03,OTHER OFFENSE,62
2010-01-03,PROSTITUTION,5
2010-01-03,PUBLIC PEACE VIOLATION,6
2010-01-03,ROBBERY,29
2010-01-03,SEX OFFENSE,1
2010-01-03,THEFT,148
2010-01-03,WEAPONS VIOLATION,7
2010-01-04,ARSON,3
2010-01-04,ASSAULT,43
2010-01-04,BATTERY,127
2010-01-04,BURGLARY,51
2010-01-04,CRIM SEXUAL ASSAULT,4
2010-01-04,CRIMINAL DAMAGE,76
2010-01-04,CRIMINAL TRESPASS,24
2010-01-04,DECEPTIVE PRACTICE,47
2010-01-04,HOMICIDE,2
2010-01-04,INTERFERENCE WITH PUBLIC OFFICER,1
2010-01-04,INTIMIDATION,1
2010-01-04,KIDNAPPING,1
2010-01-04,LIQUOR LAW VIOLATION,2
2010-01-04,MOTOR VEHICLE THEFT,39
2010-01-04,NARCOTICS,105
2010-01-04,OFFENSE INVOLVING CHILDREN,6
2010-01-04,OTHER OFFENSE,70
2010-01-04,PROSTITUTION,5
2010-01-04,PUBLIC PEACE VIOLATION,5
2010-01-04,ROBBERY,36
2010-01-04,SEX OFFENSE,1
2010-01-04,THEFT,196
2010-01-04,WEAPONS VIOLATION,10
2010-01-05,ARSON,3
2010-01-05,ASSAULT,33
2010-01-05,BATTERY,105
2010-01-05,BURGLARY,72
2010-01-05,CRIM SEXUAL ASSAULT,4
2010-01-05,CRIMINAL DAMAGE,91
2010-01-05,CRIMINAL TRESPASS,37
2010-01-05,DECEPTIVE PRACTICE,32
2010-01-05,KIDNAPPING,2
2010-01-05,MOTOR VEHICLE THEFT,53
2010-01-05,NARCOTICS,138
2010-01-05,OFFENSE INVOLVING CHILDREN,5
2010-01-05,OTHER OFFENSE,59
2010-01-05,PROSTITUTION,17
2010-01-05,PUBLIC PEACE VIOLATION,6
2010-01-05,ROBBERY,36
2010-01-05,SEX OFFENSE,4
2010-01-05,STALKING,1
2010-01-05,THEFT,206
2010-01-05,WEAPONS VIOLATION,8
2010-01-06,ARSON,1
2010-01-06,ASSAULT,53
2010-01-06,BATTERY,141
2010-01-06,BURGLARY,66
2010-01-06,CRIM SEXUAL ASSAULT,2
2010-01-06,CRIMINAL DAMAGE,79
2010-01-06,CRIMINAL TRESPASS,38
2010-01-06,DECEPTIVE PRACTICE,36
2010-01-06,INTIMIDATION,3
2010-01-06,LIQUOR LAW VIOLATION,4
2010-01-06,MOTOR VEHICLE THEFT,40
2010-01-06,NARCOTICS,115
2010-01-06,OFFENSE INVOLVING CHILDREN,4
2010-01-06,OTHER OFFENSE,59
2010-01-06,PROSTITUTION,9
2010-01-06,PUBLIC PEACE VIOLATION,8
2010-01-06,ROBBERY,44
2010-01-06,SEX OFFENSE,4
2010-01-06,STALKING,1
2010-01-06,THEFT,170
2010-01-06,WEAPONS VIOLATION,10
2010-01-07,ARSON,1
2010-01-07,ASSAULT,59
2010-01-07,BATTERY,141
2010-01-07,BURGLARY,75
2010-01-07,CRIM SEXUAL ASSAULT,3
2010-01-07,CRIMINAL DAMAGE,60
2010-01-07,CRIMINAL TRESPASS,26
2010-01-07,DECEPTIVE PRACTICE,37
2010-01-07,GAMBLING,1
2010-01-07,HOMICIDE,1
2010-01-07,INTERFERENCE WITH PUBLIC OFFICER,1
2010-01-07,INTIMIDATION,1
2010-01-07,KIDNAPPING,1
2010-01-07,LIQUOR LAW VIOLATION,1
2010-01-07,MOTOR VEHICLE THEFT,39
2010-01-07,NARCOTICS,108
2010-01-07,OFFENSE INVOLVING CHILDREN,2
2010-01-07,OTHER OFFENSE,54
2010-01-07,PROSTITUTION,12
2010-01-07,PUBLIC PEACE VIOLATION,6
2010-01-07,ROBBERY,41
2010-01-07,SEX OFFENSE,3
2010-01-07,STALKING,1
2010-01-07,THEFT,184
2010-01-07,WEAPONS VIOLATION,6
2010-01-08,ASSAULT,68
2010-01-08,BATTERY,145
2010-01-08,BURGLARY,75
2010-01-08,CRIM SEXUAL ASSAULT,3
2010-01-08,CRIMINAL DAMAGE,71
2010-01-08,CRIMINAL TRESPASS,38
2010-01-08,DECEPTIVE PRACTICE,38
2010-01-08,INTERFERENCE WITH PUBLIC OFFICER,1
2010-01-08,KIDNAPPING,4
2010-01-08,MOTOR VEHICLE THEFT,43
2010-01-08,NARCOTICS,118
2010-01-08,OFFENSE INVOLVING CHILDREN,8
2010-01-08,OTHER OFFENSE,69
2010-01-08,PROSTITUTION,8
2010-01-08,PUBLIC PEACE VIOLATION,11
2010-01-08,ROBBERY,43
2010-01-08,STALKING,1
2010-01-08,THEFT,177
2010-01-08,WEAPONS VIOLATION,10
2010-01-09,ARSON,2
2010-01-09,ASSAULT,40
2010-01-09,BATTERY,136
2010-01-09,BURGLARY,52
2010-01-09,CRIM SEXUAL ASSAULT,2
2010-01-09,CRIMINAL DAMAGE,77
2010-01-09,CRIMINAL TRESPASS,21
2010-01-09,DECEPTIVE PRACTICE,41
2010-01-09,GAMBLING,1
2010-01-09,HOMICIDE,2
2010-01-09,INTERFERENCE WITH PUBLIC OFFICER,3
2010-01-09,KIDNAPPING,1
2010-01-09,LIQUOR LAW VIOLATION,2
2010-01-09,MOTOR VEHICLE THEFT,37
2010-01-09,NARCOTICS,84
2010-01-09,OFFENSE INVOLVING CHILDREN,4
2010-01-09,OTHER OFFENSE,69
2010-01-09,PROSTITUTION,4
2010-01-09,PUBLIC PEACE VIOLATION,4
2010-01-09,ROBBERY,44
2010-01-09,SEX OFFENSE,1
2010-01-09,THEFT,188
2010-01-09,WEAPONS VIOLATION,6
2010-01-10,ARSON,1
2010-01-10,ASSAULT,34
2010-01-10,BATTERY,151
2010-01-10,BURGLARY,52
2010-01-10,CRIM SEXUAL ASSAULT,2
2010-01-10,CRIMINAL DAMAGE,78
2010-01-10,CRIMINAL TRESPASS,23
2010-01-10,DECEPTIVE PRACTICE,33
2010-01-10,KIDNAPPING,1
2010-01-10,LIQUOR LAW VIOLATION,2
2010-01-10,MOTOR VEHICLE THEFT,38
2010-01-10,NARCOTICS,92
2010-01-10,OFFENSE INVOLVING CHILDREN,9
2010-01-10,OTHER OFFENSE,66
2010-01-10,PROSTITUTION,3
2010-01-10,PUBLIC PEACE VIOLATION,5
2010-01-10,ROBBERY,29
2010-01-10,SEX OFFENSE,4
2010-01-10,STALKING,1
2010-01-10,THEFT,152
2010-01-10,WEAPONS VIOLATION,7
2010-01-11,ARSON,2
2010-01-11,ASSAULT,48
2010-01-11,BATTERY,162
2010-01-11,BURGLARY,101
2010-01-11,CRIM SEXUAL ASSAULT,1
2010-01-11,CRIMINAL DAMAGE,84
2010-01-11,CRIMINAL TRESPASS,24
2010-01-11,DECEPTIVE PRACTICE,33
2010-01-11,HOMICIDE,1
2010-01-11,INTERFERENCE WITH PUBLIC OFFICER,2
2010-01-11,KIDNAPPING,2
2010-01-11,LIQUOR LAW VIOLATION,1
2010-01-11,MOTOR VEHICLE THEFT,48
2010-01-11,NARCOTICS,111
2010-01-11,OFFENSE INVOLVING CHILDREN,4
2010-01-11,OTHER OFFENSE,85
2010-01-11,PROSTITUTION,5
2010-01-11,PUBLIC PEACE VIOLATION,12
2010-01-11,ROBBERY,36
2010-01-11,SEX OFFENSE,2
2010-01-11,THEFT,185
2010-01-11,WEAPONS VIOLATION,6
2010-01-12,ARSON,2
2010-01-12,ASSAULT,55
2010-01-12,BATTERY,169
2010-01-12,BURGLARY,70
2010-01-12,CRIM SEXUAL ASSAULT,1
2010-01-12,CRIMINAL DAMAGE,74
2010-01-12,CRIMINAL TRESPASS,32
2010-01-12,DECEPTIVE PRACTICE,32
2010-01-12,HOMICIDE,1
2010-01-12,INTERFERENCE WITH PUBLIC OFFICER,2
2010-01-12,INTIMIDATION,2
2010-01-12,KIDNAPPING,1
2010-01-12,LIQUOR LAW VIOLATION,1
2010-01-12,MOTOR VEHICLE THEFT,66
2010-01-12,NARCOTICS,144
2010-01-12,OFFENSE INVOLVING CHILDREN,4
2010-01-12,OTHER OFFENSE,59
2010-01-12,PROSTITUTION,7
2010-01-12,PUBLIC PEACE VIOLATION,14
2010-01-12,ROBBERY,49
2010-01-12,SEX OFFENSE,3
2010-01-12,THEFT,211
2010-01-12,WEAPONS VIOLATION,5
2010-01-13,ASSAULT,62
2010-01-13,BATTERY,158
2010-01-13,BURGLARY,69
2010-01-13,CRIM SEXUAL ASSAULT,1
2010-01-13,CRIMINAL DAMAGE,77
2010-01-13,CRIMINAL TRESPASS,40
2010-01-13,DECEPTIVE PRACTICE,33
2010-01-13,HOMICIDE,1
2010-01-13,INTERFERENCE WITH PUBLIC OFFICER,1
2010-01-13,INTIMIDATION,2
2010-01-13,KIDNAPPING,2
2010-01-13,LIQUOR LAW VIOLATION,1
2010-01-13,MOTOR VEHICLE THEFT,48
2010-01-13,NARCOTICS,156
2010-01-13,OFFENSE INVOLVING CHILDREN,3
2010-01-13,OTHER OFFENSE,63
2010-01-13,PROSTITUTION,3
2010-01-13,PUBLIC PEACE VIOLATION,12
2010-01-13,ROBBERY,49
2010-01-13,SEX OFFENSE,3
2010-01-13,STALKING,1
2010-01-13,THEFT,191
2010-01-13,WEAPONS VIOLATION,15
2010-01-14,ARSON,2
2010-01-14,ASSAULT,64
2010-01-14,BATTERY,160
2010-01-14,BURGLARY,84
2010-01-14,CRIM SEXUAL ASSAULT,2
2010-01-14,CRIMINAL DAMAGE,112
2010-01-14,CRIMINAL TRESPASS,32
2010-01-14,DECEPTIVE PRACTICE,45
2010-01-14,GAMBLING,1
2010-01-14,HOMICIDE,1
2010-01-14,INTERFERENCE WITH PUBLIC OFFICER,3
2010-01-14,LIQUOR LAW VIOLATION,3
2010-01-14,MOTOR VEHICLE THEFT,61
2010-01-14,NARCOTICS,132
2010-01-14,OFFENSE INVOLVING CHILDREN,12
2010-01-14,OTHER OFFENSE,79
2010-01-14,PROSTITUTION,12
2010-01-14,PUBLIC PEACE VIOLATION,14
2010-01-14,ROBBERY,58
2010-01-14,SEX OFFENSE,1
2010-01-14,STALKING,1
2010-01-14,THEFT,185
2010-01-14,WEAPONS VIOLATION,14
2010-01-15,ARSON,2
2010-01-15,ASSAULT,61
2010-01-15,BATTERY,183
2010-01-15,BURGLARY,77
2010-01-15,CRIM SEXUAL ASSAULT,3
2010-01-15,CRIMINAL DAMAGE,126
2010-01-15,CRIMINAL TRESPASS,39
2010-01-15,DECEPTIVE PRACTICE,33
2010-01-15,GAMBLING,2
2010-01-15,INTERFERENCE WITH PUBLIC OFFICER,3
2010-01-15,INTIMIDATION,2
2010-01-15,KIDNAPPING,2
2010-01-15,LIQUOR LAW VIOLATION,2
2010-01-15,MOTOR VEHICLE THEFT,66
2010-01-15,NARCOTICS,148
2010-01-15,OBSCENITY,1
2010-01-15,OFFENSE INVOLVING CHILDREN,13
2010-01-15,OTHER OFFENSE,86
2010-01-15,PROSTITUTION,12
2010-01-15,PUBLIC PEACE VIOLATION,14
2010-01-15,ROBBERY,55
2010-01-15,SEX OFFENSE,3
2010-01-15,THEFT,264
2010-01-15,WEAPONS VIOLATION,15
2010-01-16,ARSON,4
2010-01-16,ASSAULT,43
2010-01-16,BATTERY,172
2010-01-16,BURGLARY,54
2010-01-16,CRIM SEXUAL ASSAULT,1
2010-01-16,CRIMINAL DAMAGE,86
2010-01-16,CRIMINAL SEXUAL ASSAULT,1
2010-01-16,CRIMINAL TRESPASS,30
2010-01-16,DECEPTIVE PRACTICE,31
2010-01-16,GAMBLING,1
2010-01-16,INTERFERENCE WITH PUBLIC OFFICER,3
2010-01-16,LIQUOR LAW VIOLATION,6
2010-01-16,MOTOR VEHICLE THEFT,54
2010-01-16,NARCOTICS,126
2010-01-16,OFFENSE INVOLVING CHILDREN,3
2010-01-16,OTHER OFFENSE,53
2010-01-16,PROSTITUTION,11
