date,temperature_2m_max,temperature_2m_mean,apparent_temperature_max,relative_humidity_2m_mean,precipitation_sum,snowfall_sum
2010-01-01,17.4,14.5,5.8,75,0.0,0.14
2010-01-02,14.9,11.0,1.6,72,0.0,0.0
2010-01-03,18.8,14.3,7.5,77,0.0,0.0
2010-01-04,20.0,16.3,9.1,78,0.0,0.07
2010-01-05,23.3,19.6,13.8,79,0.0,0.0
2010-01-06,22.8,19.8,15.3,80,0.0,0.07
2010-01-07,22.2,19.6,14.3,83,8.4,6.02
2010-01-08,26.3,22.5,15.0,79,3.4,2.59
2010-01-09,22.5,17.0,13.9,82,0.0,0.0
2010-01-10,16.0,7.9,2.4,80,0.0,0.0
2010-01-11,26.1,21.5,14.8,78,0.4,1.05
2010-01-12,28.9,24.8,21.2,83,0.0,0.35
2010-01-13,30.9,23.1,20.8,83,0.0,0.0
2010-01-14,35.9,32.0,27.5,88,0.0,0.0
2010-01-15,32.2,29.8,25.6,89,0.0,0.0
2010-01-16,29.1,25.9,22.3,84,0.0,0.0
2010-01-17,29.2,23.8,23.4,87,0.0,0.0
2010-01-18,31.5,29.0,25.4,91,0.0,0.0
2010-01-19,31.5,27.6,25.4,82,0.0,0.0
2010-01-20,31.4,28.4,20.9,83,2.6,1.75
2010-01-21,33.2,30.1,24.0,82,0.7,0.21
2010-01-22,33.2,32.6,26.0,88,0.0,0.0
2010-01-23,39.2,35.5,31.0,94,0.0,0.0
2010-01-24,41.7,37.7,31.3,94,8.6,0.0
2010-01-25,31.6,28.6,19.8,79,0.2,0.77
2010-01-26,24.2,20.2,12.0,72,0.0,0.14
2010-01-27,24.0,16.9,12.1,70,0.2,0.49
2010-01-28,20.4,11.6,6.8,59,0.0,0.0
2010-01-29,18.7,12.5,10.6,64,0.0,0.0
2010-01-30,21.0,18.0,13.3,65,0.0,0.0
2010-01-31,27.4,18.2,17.6,68,0.0,0.0
2010-02-01,28.6,21.8,20.9,75,0.0,0.14
2010-02-02,32.1,27.8,26.0,85,2.4,1.82
2010-02-03,29.4,26.2,23.2,80,0.0,0.0
2010-02-04,31.6,26.2,25.2,85,0.0,0.0
2010-02-05,32.3,30.0,21.8,85,1.0,0.91
2010-02-06,27.6,23.1,14.0,75,0.0,0.07
2010-02-07,25.8,22.3,17.3,74,0.0,0.0
2010-02-08,28.2,22.9,20.4,72,0.0,0.21
2010-02-09,26.6,24.2,19.4,81,10.9,7.7
2010-02-10,24.8,21.3,15.3,78,1.2,0.98
2010-02-11,25.0,16.5,17.1,80,0.0,0.0
