id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
14075483,JK105557,2025-12-31T23:58:00.000,050XX S PAULINA ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,0931,009,20,61,08A,1165860,1871343,2025,2026-03-14T15:41:39.000,41.802549018,-87.667246428,"{'latitude': '41.802549018', 'longitude': '-87.667246428', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070833,JK100050,2025-12-31T23:55:00.000,053XX W WASHINGTON BLVD,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,APARTMENT,False,True,1522,015,37,25,07,1140809,1900235,2025,2026-03-14T15:41:39.000,41.882328854,-87.758411303,"{'latitude': '41.882328854', 'longitude': '-87.758411303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070845,JK100006,2025-12-31T23:54:00.000,013XX W LAKE ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",RESTAURANT,True,False,1215,012,27,28,08B,1167120,1901555,2025,2026-03-14T15:41:39.000,41.885426714,-87.661759042,"{'latitude': '41.885426714', 'longitude': '-87.661759042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070799,JK100014,2025-12-31T23:54:00.000,100XX W OHARE ST,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,AIRCRAFT,False,False,1651,016,41,76,24,1100658,1934241,2025,2026-03-14T15:41:39.000,41.976290414,-87.905227221,"{'latitude': '41.976290414', 'longitude': '-87.905227221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070745,JK100011,2025-12-31T23:54:00.000,100XX W OHARE ST,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,AIRCRAFT,False,False,1651,016,41,76,24,1100658,1934241,2025,2026-03-14T15:41:39.000,41.976290414,-87.905227221,"{'latitude': '41.976290414', 'longitude': '-87.905227221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071367,JK100694,2025-12-31T23:50:00.000,005XX S MICHIGAN AVE,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,0123,001,4,32,08B,1177364,1897937,2025,2026-03-14T15:41:39.000,41.875272573,-87.624251314,"{'latitude': '41.875272573', 'longitude': '-87.624251314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070841,JK100162,2025-12-31T23:50:00.000,068XX S PERRY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0722,007,6,69,08B,1176577,1859676,2025,2026-03-14T15:41:39.000,41.77029895,-87.628293582,"{'latitude': '41.77029895', 'longitude': '-87.628293582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070783,JK100009,2025-12-31T23:49:00.000,0000X E WACKER DR,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,0111,001,42,32,15,1177013,1902660,2025,2026-03-14T15:41:39.000,41.888240695,-87.625396986,"{'latitude': '41.888240695', 'longitude': '-87.625396986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14070846,JK100015,2025-12-31T23:47:00.000,004XX W SURF ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1934,019,44,6,08B,1172790,1919420,2025,2026-03-14T15:41:39.000,41.934325528,-87.640407923,"{'latitude': '41.934325528', 'longitude': '-87.640407923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071619,JK100615,2025-12-31T23:45:00.000,006XX E GRAND AVE,0810,THEFT,OVER $500,OTHER (SPECIFY),False,False,1834,018,42,8,06,1180796,1904058,2025,2026-03-14T15:41:39.000,41.891990384,-87.611461502,"{'latitude': '41.891990384', 'longitude': '-87.611461502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
14071594,JK100608,2025-12-31T23:45:00.000,006XX E GRAND AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),False,False,1834,018,42,8,11,1180796,1904058,2025,2026-03-14T15:41:39.000,41.891990384,-87.611461502,"{'latitude': '41.891990384', 'longitude': '-87.611461502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
