state,fire_year,size_class,cause_class,n,acres
AK,1992,A,Human,241,25.8
AK,1992,A,Missing data/not specified/undetermined,1,0.1
AK,1992,A,Natural,17,2.4000000000000004
AK,1992,B,Human,111,151.9
AK,1992,B,Missing data/not specified/undetermined,1,0.5
AK,1992,B,Natural,37,91.9
AK,1992,C,Human,17,451.0
AK,1992,C,Natural,23,786.7
AK,1992,D,Human,7,1265.0
AK,1992,D,Natural,6,1175.0
AK,1992,E,Human,2,1840.0
AK,1992,E,Natural,5,3370.0
AK,1992,F,Human,1,1410.0
AK,1992,F,Natural,8,23370.0
AK,1992,G,Human,1,48087.0
AK,1992,G,Natural,2,60690.0
AK,1993,A,Human,418,46.2
AK,1993,A,Natural,39,4.1000000000000005
AK,1993,B,Human,144,247.5
AK,1993,B,Natural,109,262.8
AK,1993,C,Human,19,610.7
AK,1993,C,Natural,41,1350.0
AK,1993,D,Human,1,127.1
AK,1993,D,Natural,22,3985.0
AK,1993,E,Natural,22,15197.2
AK,1993,F,Human,1,1301.5
AK,1993,F,Natural,23,63660.0
AK,1993,G,Natural,20,600399.0
AK,1994,A,Human,316,34.800000000000004
AK,1994,A,Missing data/not specified/undetermined,2,0.2
AK,1994,A,Natural,25,3.1
AK,1994,B,Human,94,121.4
AK,1994,B,Natural,76,200.5
AK,1994,C,Human,10,233.0
AK,1994,C,Missing data/not specified/undetermined,1,20.0
AK,1994,C,Natural,35,1250.1
AK,1994,D,Human,5,950.0
AK,1994,D,Natural,16,2582.0
AK,1994,E,Human,1,406.7
AK,1994,E,Natural,24,12716.0
AK,1994,F,Human,2,3800.0
AK,1994,F,Natural,19,43473.0
AK,1994,G,Natural,13,196173.9
AK,1995,A,Human,234,26.1
AK,1995,A,Missing data/not specified/undetermined,1,0.1
AK,1995,A,Natural,10,1.0
AK,1995,B,Human,98,116.9
AK,1995,B,Natural,23,54.9
AK,1995,C,Human,12,543.6
AK,1995,C,Natural,10,493.0
AK,1995,D,Human,2,260.0
AK,1995,D,Natural,4,570.0
AK,1995,E,Human,2,646.0
AK,1995,E,Natural,7,3640.0
AK,1995,F,Human,2,4160.0
AK,1995,F,Natural,6,11390.0
AK,1995,G,Natural,3,22060.0
AK,1996,A,Human,389,43.0
AK,1996,A,Natural,19,2.3000000000000003
AK,1996,B,Human,150,232.2
AK,1996,B,Natural,52,112.5
AK,1996,C,Human,21,790.8
AK,1996,C,Natural,26,910.0
AK,1996,D,Human,4,690.5
AK,1996,D,Natural,8,1532.0
AK,1996,E,Human,1,500.0
AK,1996,E,Natural,10,5633.0
AK,1996,F,Human,4,8250.0
AK,1996,F,Natural,13,34981.0
AK,1996,G,Human,7,160276.0
AK,1996,G,Natural,14,384843.9
AK,1997,A,Human,337,37.7
AK,1997,A,Natural,31,3.9000000000000004
AK,1997,B,Human,120,179.3
AK,1997,B,Missing data/not specified/undetermined,1,2.0
AK,1997,B,Natural,65,163.6
AK,1997,C,Human,17,562.2
AK,1997,C,Natural,57,1825.8
AK,1997,D,Natural,22,3683.0
AK,1997,E,Human,4,2440.0
AK,1997,E,Natural,20,12019.0
AK,1997,F,Natural,21,50548.0
AK,1997,G,Human,1,14100.0
AK,1997,G,Natural,24,1940580.0
