state,fire_year,month,cause_class,n
AK,1992,4,Human,20
AK,1992,5,Human,152
AK,1992,5,Missing data/not specified/undetermined,1
AK,1992,5,Natural,3
AK,1992,6,Human,95
AK,1992,6,Natural,32
AK,1992,7,Human,51
AK,1992,7,Missing data/not specified/undetermined,1
AK,1992,7,Natural,53
AK,1992,8,Human,27
AK,1992,8,Natural,10
AK,1992,9,Human,28
AK,1992,10,Human,7
AK,1993,4,Human,32
AK,1993,5,Human,158
AK,1993,5,Natural,1
AK,1993,6,Human,98
AK,1993,6,Natural,139
AK,1993,7,Human,182
AK,1993,7,Natural,126
AK,1993,8,Human,91
AK,1993,8,Natural,10
AK,1993,9,Human,21
AK,1993,10,Human,1
AK,1994,3,Human,2
AK,1994,4,Human,19
AK,1994,5,Human,129
AK,1994,5,Missing data/not specified/undetermined,1
AK,1994,5,Natural,3
AK,1994,6,Human,53
AK,1994,6,Missing data/not specified/undetermined,2
AK,1994,6,Natural,124
AK,1994,7,Human,86
AK,1994,7,Natural,56
AK,1994,8,Human,88
AK,1994,8,Natural,24
AK,1994,9,Human,42
AK,1994,9,Natural,1
AK,1994,10,Human,9
AK,1995,3,Human,2
AK,1995,4,Human,71
AK,1995,5,Human,128
AK,1995,5,Missing data/not specified/undetermined,1
AK,1995,5,Natural,15
AK,1995,6,Human,79
AK,1995,6,Natural,29
AK,1995,7,Human,28
AK,1995,7,Natural,19
AK,1995,8,Human,16
AK,1995,9,Human,20
AK,1995,10,Human,3
AK,1995,12,Human,3
AK,1996,3,Human,2
AK,1996,4,Human,47
AK,1996,5,Human,268
AK,1996,5,Natural,6
AK,1996,6,Human,123
AK,1996,6,Natural,82
AK,1996,7,Human,62
AK,1996,7,Natural,53
AK,1996,8,Human,26
AK,1996,8,Natural,1
AK,1996,9,Human,34
AK,1996,10,Human,14
AK,1997,3,Human,8
AK,1997,4,Human,57
AK,1997,5,Human,166
AK,1997,5,Natural,1
AK,1997,6,Human,116
AK,1997,6,Natural,85
AK,1997,7,Human,82
AK,1997,7,Missing data/not specified/undetermined,1
AK,1997,7,Natural,139
AK,1997,8,Human,28
AK,1997,8,Natural,15
AK,1997,9,Human,18
AK,1997,10,Human,3
AK,1997,11,Human,1
AK,1998,2,Human,1
AK,1998,3,Human,2
AK,1998,4,Human,94
AK,1998,5,Human,109
AK,1998,5,Natural,6
AK,1998,6,Human,66
AK,1998,6,Natural,14
AK,1998,7,Human,37
AK,1998,7,Natural,27
AK,1998,8,Human,29
AK,1998,8,Natural,1
AK,1998,9,Human,19
AK,1998,10,Human,3
AK,1999,3,Human,1
AK,1999,4,Human,36
AK,1999,4,Missing data/not specified/undetermined,1
AK,1999,5,Human,110
AK,1999,5,Natural,4
AK,1999,6,Human,103
AK,1999,6,Natural,76
AK,1999,7,Human,53
AK,1999,7,Natural,75
AK,1999,8,Human,9
AK,1999,8,Natural,2
AK,1999,9,Human,11
AK,1999,10,Human,1
AK,2000,4,Human,14
AK,2000,4,Natural,1
AK,2000,5,Human,122
AK,2000,6,Human,87
AK,2000,6,Missing data/not specified/undetermined,1
AK,2000,6,Natural,67
AK,2000,7,Human,27
AK,2000,7,Natural,12
AK,2000,8,Human,22
