scope,year,large_acres_min,n_fires,acres_incident,acres_poly,n_fires_incl_cpx_children,acres_incident_incl_cpx_children,acres_poly_incl_cpx_children
conus,2021,1000,365,6250648.189999999,5673584.853306967,369,6556336.189999999,6014464.906078253
conus,2022,1000,391,3787744.4399999995,3634171.4405578473,397,3928441.4399999995,3785727.9901343263
conus,2023,1000,283,1742935.1700000002,1460978.4767967677,284,1760918.7000000002,1495166.7321902863
conus,2024,1000,428,7323907.340000004,7106468.371778361,430,7341938.340000004,7124539.664031795
conus,2025,1000,278,2992092.25,2920556.0447799973,284,3053289.05,2981773.932255194
CA,2021,1000,35,2178601.75,2097642.9510508627,38,2477059.75,2433769.537709235
CA,2022,1000,22,286702.0,293662.4450061437,22,286702.0,293662.4450061437
CA,2023,1000,35,302352.11,304984.044380777,36,320335.64,339172.2997742955
CA,2024,1000,43,909513.19,874698.532175405,43,909513.19,874698.532175405
CA,2025,1000,31,440256.14,429999.6019315768,33,462653.94000000006,452397.0083484116
