iso3,clean_cooking_access,co2_pc,co2_total_mt,control_corruption,dependency_ratio,elec_access,energy_intensity,energy_use_pc,fdi_net_inflow_pct_gdp,fertility_rate,fossil_fuel_pct,gcf_pct_gdp,gdp_growth,gdp_pc_ppp_const,gini,gov_effectiveness,gross_fixed_capital_pct_gdp,gross_savings_pct_gdp,health_exp_pct_gdp,hightech_exports_pct,ict_service_exports_pct,internet_users,life_expectancy,patent_apps_resident,pm25_exposure,political_stability,population,poverty_215,regulatory_quality,renew_share,rnd_exp_pct_gdp,rule_of_law,secondary_enroll,tertiary_enroll,trade_pct_gdp,unemployment,urban_pct,voice_accountability
ABW,0,30,30,21,30,29,23,0,30,30,0,30,30,30,0,21,0,29,0,15,29,20,30,1,0,21,30,0,21,28,0,21,20,19,30,0,30,21
AFG,24,30,30,26,30,24,22,0,22,30,0,5,24,24,0,26,5,1,22,2,13,24,30,0,29,26,30,0,26,28,0,26,19,7,5,30,30,26
AGO,24,30,30,26,30,24,22,29,30,30,29,23,30,30,3,26,23,23,24,10,18,29,30,2,29,26,30,3,26,27,1,26,12,13,23,30,30,26
ALB,24,30,30,26,30,29,23,29,30,30,29,30,30,30,12,26,30,30,24,16,30,30,30,8,29,26,30,12,26,27,4,26,30,30,30,30,30,26
AND,24,0,0,26,30,29,23,0,6,30,0,0,30,30,0,26,0,0,24,17,6,28,30,4,29,26,30,0,26,28,1,26,23,19,0,0,30,26
ARE,24,30,30,26,30,29,22,29,30,30,22,23,30,30,2,26,9,1,24,13,2,30,30,12,29,26,30,2,26,27,8,26,10,7,23,30,30,26
ARG,24,30,30,26,30,29,23,30,30,30,30,30,30,30,29,26,30,30,24,18,30,30,30,27,29,26,30,29,26,27,28,26,28,26,30,30,30,26
ARM,24,30,30,26,30,24,22,29,30,30,29,30,30,30,26,26,30,30,24,18,30,30,30,26,29,26,30,26,26,27,28,26,24,30,30,30,30,26
ASM,0,30,30,21,30,0,0,0,0,30,0,0,20,0,0,21,0,0,0,0,0,0,30,0,29,21,30,0,21,28,4,21,0,0,21,0,30,20
ATG,24,30,30,26,30,29,23,4,30,30,4,0,30,30,0,26,0,0,24,12,30,30,30,1,29,26,30,0,26,28,0,26,13,4,9,0,30,26
