indicator,n_obs,n_countries,year_min,year_max,source
clean_cooking_access,4536,189,2000,2023,wb
co2_pc,6090,203,1995,2024,wb
co2_total_mt,6090,203,1995,2024,wb
control_corruption,5201,207,1996,2024,wb
dependency_ratio,6510,217,1995,2024,wb
elec_access,5932,216,1995,2023,wb
energy_intensity,4486,201,2000,2022,wb
energy_use_pc,4452,178,1995,2024,wb
fdi_net_inflow_pct_gdp,5713,202,1995,2024,wb
fertility_rate,6510,217,1995,2024,wb
fossil_fuel_pct,4267,178,1995,2024,wb
gcf_pct_gdp,5046,185,1995,2024,wb
gdp_growth,6155,214,1995,2024,wb
gdp_pc_ppp_const,5855,199,1995,2024,wb
gini,2083,170,1995,2024,wb
gov_effectiveness,5168,205,1996,2024,wb
gross_fixed_capital_pct_gdp,4882,180,1995,2024,wb
gross_savings_pct_gdp,4434,178,1995,2024,wb
health_exp_pct_gdp,4562,193,2000,2024,wb
hightech_exports_pct,2665,186,2007,2024,wb
ict_service_exports_pct,4649,190,1995,2024,wb
internet_users,5761,210,1995,2024,wb
life_expectancy,6507,217,1995,2024,wb
patent_apps_resident,2777,153,1995,2021,wb
pm25_exposure,5800,200,1995,2023,wb
political_stability,5255,207,1996,2024,wb
population,6510,217,1995,2024,wb
poverty_215,2083,170,1995,2024,wb
regulatory_quality,5169,205,1996,2024,wb
renew_share,5732,212,1995,2022,wb
rnd_exp_pct_gdp,2467,156,1996,2024,wb
rule_of_law,5296,207,1996,2024,wb
secondary_enroll,3947,205,1995,2024,wb
tertiary_enroll,3495,197,1995,2024,wb
trade_pct_gdp,5263,193,1995,2024,wb
unemployment,5601,187,1995,2024,wb
urban_pct,6510,217,1995,2024,wb
voice_accountability,5285,207,1996,2024,wb
