,count,mean,std,min,25%,50%,75%,max
clean_cooking_access,189.0,69.63201058201058,36.812960168418805,0.0,39.5,91.4,100.0,100.0
co2_pc,203.0,4.502165248526376,7.674940906637268,0.0,0.690655845306237,2.52966973653139,5.0809927723399895,78.8571106222147
co2_total_mt,203.0,184.64540837438423,1002.0511639398442,0.0,1.7341000000000002,11.8491,61.842349999999996,13021.242
control_corruption,207.0,-0.027294960869564587,0.9814727756846305,-1.87741769999999,-0.7418635,-0.192361099999999,0.6811751500000001,2.3171626
dependency_ratio,217.0,57.699139130981536,15.181041606660765,20.0951254427778,48.4047019311503,54.5703480456464,66.1425812587668,105.177562449203
elec_access,215.0,88.18186046511627,22.431065663558403,5.4,88.35,100.0,100.0,100.0
energy_intensity,0.0,,,,,,,
energy_use_pc,149.0,2261.092619567733,2623.0515503610764,68.6604990272928,600.64391286941,1481.22439922518,2850.94152906511,16343.0404045489
fdi_net_inflow_pct_gdp,195.0,3.944743667211249,16.077142040554605,-63.1546391215421,0.667318418544359,2.15951089914844,4.6724039986532,165.458133910781
fertility_rate,217.0,2.3766566866359446,1.2049116223628547,0.586,1.486,1.916,3.099,6.132
fossil_fuel_pct,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcf_pct_gdp,174.0,23.44929025158677,7.925553892246892,-3.7352612180732,19.31041942918885,22.98198035400265,27.4102640833048,45.2657364801262
gdp_growth,204.0,3.4046565630229813,6.80695606597256,-29.4332716274387,1.1878054885901574,3.17267595167403,4.985827305653932,75.3084184293413
gdp_pc_ppp_const,197.0,27342.33543071912,26896.306413103255,1036.16712196238,6520.89886460031,17858.2446468702,41320.2032633085,130048.92038753
gini,57.0,35.238596491228066,7.214017960737595,23.8,29.8,33.9,39.8,54.6
gov_effectiveness,205.0,0.04642512390243933,0.9676814224255991,-2.2060236,-0.6767276,-0.0188320999999999,0.7325207,2.2622865
gross_fixed_capital_pct_gdp,169.0,22.3371129288144,6.7946819454182625,1.89754409912655,18.3661917906075,22.1694039604305,25.4086839463969,44.6066544616026
gross_savings_pct_gdp,156.0,22.561248613631058,10.474534617316476,-12.9860436001705,15.393610741839725,22.011835676800253,29.836864734839274,48.8282781632404
health_exp_pct_gdp,192.0,6.795014905833334,3.311996843187711,1.32651615,4.34895265,6.335648775,8.734337805,27.08968544
hightech_exports_pct,160.0,11.323602007039032,13.46106014843391,0.0,2.10843578948842,5.877937359518965,16.424136710359477,72.3154885126867
ict_service_exports_pct,171.0,9.891660862094255,11.385727114108791,0.0120781650156698,2.3479383462963597,7.02119779784846,12.4037640881138,61.7666689935838
internet_users,181.0,71.69826915731493,25.340271003416667,7.172299862,59.18740082,81.7059021,91.0,100.0
life_expectancy,217.0,73.79094334045183,7.122870192666562,54.462,68.484,74.552,79.594,86.372
patent_apps_resident,0.0,,,,,,,
pm25_exposure,200.0,21.671992659572144,15.76549708970067,1.63628490009227,10.7929194863031,17.32210450612255,29.6095047752757,107.758571527846
political_stability,207.0,0.02455653091787472,0.9870759042973457,-2.6264387,-0.5404775999999996,0.0907515,0.87291955,1.5875521
population,217.0,37048618.12903226,142175383.81396815,9816.0,826353.0,6623183.0,26418204.0,1438069596.0
poverty_215,57.0,2.782456140350877,5.731495778559828,0.0,0.2,0.9,2.8,38.6
regulatory_quality,205.0,-0.03402663170731672,0.9553468334978406,-2.0283618,-0.7404782,-0.109245,0.6218901,2.1295346
renew_share,0.0,,,,,,,
rnd_exp_pct_gdp,84.0,1.2711732142857144,1.3436261188221632,0.00609,0.24786,0.8139350000000001,1.8162825,6.34589
rule_of_law,207.0,-0.04031059178743883,1.0072953291296862,-2.2007889,-0.8358041,-0.153011099999999,0.73448225,2.0200539
secondary_enroll,147.0,90.03682196411049,24.952745067402542,3.34785008430481,80.6845797337508,93.2753164556962,104.047949143389,142.960266113281
tertiary_enroll,128.0,53.349936985619955,31.240539111946205,4.93785087797966,25.228299980351075,53.9775018220243,76.91116142272952,165.113418579102
trade_pct_gdp,176.0,94.83666256063454,60.25798985528477,2.47372878267665,53.2870871970769,82.30525123536759,115.56635350163126,402.566968197345
unemployment,184.0,6.778282608695652,5.520378816743615,0.13,3.1635,5.2105,8.4275,34.61
urban_pct,217.0,62.61006947557778,23.243105448039408,14.6783761234077,43.2496853032436,63.6626757615625,81.1645551720421,100.0
voice_accountability,205.0,-0.08301827219512121,1.0177631902500104,-2.1972027,-0.9287886,-0.0468028,0.7369363,1.9331357
