,coef,se_driscoll_kraay,p_driscoll_kraay,se_clustered,p_clustered
const,6.2669,0.4382,0.0,1.6355,0.0001
log_gdp_pc_c,2.3663,0.2565,0.0,0.4512,0.0
log_gdp_pc_c_sq,0.5034,0.08,0.0,0.1927,0.009
regulatory_quality,0.0709,0.1253,0.5713,0.1838,0.6996
log_gdp_pc_x_gov,-0.0492,0.1146,0.6678,0.1737,0.7771
renew_share,-0.0477,0.0041,0.0,0.0105,0.0
urban_pct,0.0286,0.0047,0.0,0.016,0.0738
trade_pct_gdp,-0.0054,0.0014,0.0001,0.0025,0.0312
fossil_fuel_pct,0.0021,0.0017,0.226,0.0035,0.5529
dependency_ratio,-0.0359,0.0047,0.0,0.0147,0.0148
