sample,group,drift_pct_yr,drift_se_pct,drift_p,elasticity,elast_se,elast_p,n
1996-2005,all countries,0.84,0.37,0.0249,0.315,0.084,0.0002,1495
1996-2005 ex-COVID,all countries,0.84,0.37,0.0249,0.315,0.084,0.0002,1495
1996-2005,Low income,2.0,0.9,0.0261,0.171,0.178,0.3363,205
1996-2005 ex-COVID,Low income,2.0,0.9,0.0261,0.171,0.178,0.3363,205
1996-2005,Lower middle income,2.11,1.0,0.0345,0.146,0.19,0.4421,380
1996-2005 ex-COVID,Lower middle income,2.11,1.0,0.0345,0.146,0.19,0.4421,380
1996-2005,Upper middle income,0.29,0.43,0.501,0.441,0.101,0.0,410
1996-2005 ex-COVID,Upper middle income,0.29,0.43,0.501,0.441,0.101,0.0,410
1996-2005,High income,-0.47,0.33,0.1538,0.422,0.11,0.0001,500
1996-2005 ex-COVID,High income,-0.47,0.33,0.1538,0.422,0.11,0.0001,500
2006-2015,all countries,-0.18,0.3,0.5452,0.639,0.066,0.0,1502
2006-2015 ex-COVID,all countries,-0.18,0.3,0.5452,0.639,0.066,0.0,1502
2006-2015,Low income,2.4,0.98,0.0141,0.787,0.127,0.0,210
2006-2015 ex-COVID,Low income,2.4,0.98,0.0141,0.787,0.127,0.0,210
2006-2015,Lower middle income,1.43,0.59,0.0161,0.567,0.171,0.0009,382
2006-2015 ex-COVID,Lower middle income,1.43,0.59,0.0161,0.567,0.171,0.0009,382
2006-2015,Upper middle income,-0.39,0.4,0.3218,0.552,0.078,0.0,410
2006-2015 ex-COVID,Upper middle income,-0.39,0.4,0.3218,0.552,0.078,0.0,410
2006-2015,High income,-2.07,0.28,0.0,0.652,0.071,0.0,500
2006-2015 ex-COVID,High income,-2.07,0.28,0.0,0.652,0.071,0.0,500
2016-2024,all countries,-0.95,0.28,0.0006,0.715,0.082,0.0,1355
2016-2024 ex-COVID,all countries,-0.72,0.33,0.0301,0.53,0.107,0.0,1053
2016-2024,Low income,0.71,0.68,0.2982,0.367,0.17,0.0308,186
2016-2024 ex-COVID,Low income,0.77,0.64,0.2294,0.229,0.155,0.1386,144
2016-2024,Lower middle income,0.47,0.57,0.4095,0.644,0.193,0.0009,350
2016-2024 ex-COVID,Lower middle income,0.71,0.65,0.2732,0.525,0.172,0.0023,272
2016-2024,Upper middle income,-0.81,0.38,0.0307,0.825,0.102,0.0,369
2016-2024 ex-COVID,Upper middle income,-0.57,0.6,0.3479,0.683,0.172,0.0001,287
2016-2024,High income,-3.1,0.36,0.0,0.878,0.079,0.0,450
2016-2024 ex-COVID,High income,-2.72,0.39,0.0,0.534,0.105,0.0,350
